Index,Name1,Name,Date_of_birth,Season_year,Season,Team1,Team,Games_Played,Goals,Assists,Points,PlusMinus_Ratings,Penalty_Minutes,Shots_on_Goal,Shooting_Percentage,PowerPlay_Goals,PowerPlay_Assists,Short_Goals,Short_Assists,Game_Winning_Goals,Game_Tying_Goals,Time_on_Ice_per_Game,Production,Number,Games_Started,Wins,Losses,Ties,Overtime_Losses,Goals_Against,Goals_Against_Average,Shots_Against,Saves,Save_Percentage,Shutouts,Position1,Position,Height,Weight,x,Body_mass_index,Place_of_birth1,Place_of_birth,Age,Experience
17,Adam Burt,ఆడమ్ బర్ట్,1/15/1969,1989,'88-'89,HAR,హెచ్ఎఆర్,737,37,115,152,-52,961,815,0,9,24,1,2,5,1,0:00,0:00,7,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Defence,డిఫెన్స్,188,95,26.9,26.9<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Detroit, Michigan","డెట్రాయిట్, మిచిగాన్",20,1
18,Adam Cracknell,ఆడమ్ క్రాక్నెల్,7/15/1985,2011,'10-'11,STL,ఎస్.టి.ఎల్ ,210,21,22,43,3,46,245,11.5,0,0,1,0,3,0,8:55,30:36:00,22,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Right_wing,రైట్ వింగ్,190,95,26.3,26.3<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Prince Albert, Saskatchewan","ప్రిన్స్ ఆల్బర్ట్, సస్కట్చేవాన్",26,1
19,Adam Creighton,ఆడమ్ క్రైటన్,6/2/1965,1984,'83-'84,BUF,బియుఎఫ్,708,187,216,403,-18,1077,1229,25,62,58,3,4,26,2,0:00,0:00,9,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Centre,సెంటర్,196,100,26,26<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Burlington, Ontario","బర్లింగ్టన్, అంటారియో",19,1
20,Adam Deadmarsh,ఆడమ్ డెడ్‌మార్ష్,5/10/1975,1995,'94-'95,COL,సిఓఎల్,567,184,189,373,44,819,1209,18.8,61,68,3,5,27,6,0:00,0:00,28,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Right_wing,రైట్ వింగ్,183,95,28.4,28.4<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Trail, British Columbia","ట్రైల్, బ్రిటిష్ కొలంబియా",20,1
21,Adam Foote,ఆడమ్ ఫుట్,7/10/1971,1992,'91-'92,QUE,క్యూయుఇ ,1154,66,242,308,100,1534,1128,3.6,19,46,6,13,10,2,0:00,0:00,52,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Defence,డిఫెన్స్,188,100,28.3,28.3<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Toronto, Ontario","టొరంటో, అంటారియో",21,1
22,Adam Graves,ఆడమ్ గ్రేవ్స్,4/12/1968,1988,'87-'88,DET,డిఇటి,1152,329,287,616,-25,1224,2855,0,105,72,19,12,40,8,0:00,0:00,9,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Left_wing,లెఫ్ట్ వింగ్,183,93,27.8,27.8<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Toronto, Ontario","టొరంటో, అంటారియో",20,1
23,Adam Hall,ఆడమ్ హాల్,8/14/1980,2002,'01-'02,NSH,ఎన్‌ఎస్‌హెచ్ ,682,69,87,156,-76,282,978,0,28,17,2,5,10,1,14:04,14:04,18,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Right_wing,రైట్ వింగ్,190,97,26.9,26.9<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Kalamazoo, Michigan","కలమజూ, మిచిగాన్",22,1
24,Adam Hauser,ఆడమ్ హౌసర్,5/27/1980,2006,'05-'06,LA,ఎల్ఎ,1,0,0,0,0,0,0,NONE,0,0,0,0,0,0,50:49:00,NONE,45,0,0,0,0,0,7.08,7.08,24,18,0.75,0,Goaltender,గోల్ టెండర్ ,188,87,24.6,24.6<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Bovey, Minnesota","బోవీ, మిన్నెసోటా",26,1
25,Adam Henrique,ఆడమ్ హెన్రిక్,2/6/1990,2011,'10-'11,NJ,ఎన్.జె ,665,186,192,378,-4,204,1208,0,47,50,14,12,34,0,13:21,0:00,14,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Centre,సెంటర్,183,88,26.3,26.3<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Brantford, Ontario","బ్రాంట్‌ఫోర్డ్, అంటారియో",21,1
26,Adam Mair,ఆడమ్ మైర్,2/15/1979,2000,'99-'00,TOR,టిఓఆర్,615,38,76,114,-26,829,579,14.3,1,1,1,0,5,0,11:33,92:24:00,13,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Centre,సెంటర్,185,94,27.5,27.5<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Hamilton, Ontario","హామిల్టన్, అంటారియో",21,1
27,Adam McQuaid,ఆడమ్ మెక్‌క్వైడ్,10/12/1986,2010,'09-'10,BOS,బిఓఎస్,512,16,57,73,62,694,403,10,0,0,0,3,4,0,10:44,203:56:00,54,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Defence,డిఫెన్స్,193,95,25.5,25.5<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Charlottetown, Prince Edward Island","షార్లెట్‌టౌన్, ప్రిన్స్ ఎడ్వర్డ్ ఐలాండ్",24,1
28,Adam Munro,ఆడమ్ మున్రో,11/12/1982,2004,'03-'04,CHI,సిహెచ్ఐ,17,0,0,0,0,0,0,NONE,0,0,0,0,0,0,60:49:00,NONE,66,7,4,10,1,2,6.66,3.66,451,400,0.88,1,Goaltender,గోల్ టెండర్ ,188,90,25.5,25.5<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"St. George, Ontario","సెయింట్ జార్జ్, అంటారియో",22,1
29,Adam Oates,ఆడమ్ ఓట్స్,8/27/1962,1986,'85-'86,DET,డిఇటి,1337,341,1079,1420,35,415,2392,18.4,103,410,12,23,56,6,0:00,0:00,77,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Centre,సెంటర్,180,86,26.5,26.5<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Weston, Ontario","వెస్టన్, అంటారియో",24,1
30,Adam Pardy,ఆడమ్ పార్డీ,3/29/1984,2009,'08-'09,CGY,సిజివై,342,4,48,52,7,269,251,2.6,0,1,0,2,0,0,15:01,90:06:00,5,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Defence,డిఫెన్స్,193,100,26.9,26.9<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Bonavista, Newfoundland","బోనవిస్టా, న్యూఫౌండ్లాండ్",25,1
31,Adam Pineault,ఆడమ్ పినాల్ట్,5/23/1986,2008,'07-'08,CBJ,సిబిజె,3,0,0,0,-2,0,5,0,0,0,0,0,0,0,11:03,0:00,41,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Right_wing,రైట్ వింగ్,185,91,26.6,26.6<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Holyoke, Massachusetts","హోలియోక్, మసాచుసెట్స్",22,1
32,Adrian Aucoin,అడ్రియన్ అకోయిన్,7/3/1973,1995,'94-'95,VAN,విఎఎన్,1108,121,278,399,47,793,2089,50,57,119,2,4,18,2,0:00,0:00,33,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Defence,డిఫెన్స్,188,98,27.7,27.7<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Ottawa, Ontario","ఒట్టావా, అంటారియో",22,1
33,Adrien Plavsic,అడ్రియన్ ప్లావిక్,1/13/1970,1990,'89-'90,STL,ఎస్.టి.ఎల్ ,214,16,56,72,13,161,249,0,7,23,0,1,3,1,0:00,0:00,25,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Defence,డిఫెన్స్,185,86,25.1,25.1<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Montreal, Quebec","మాంట్రియల్, క్యూబెక్",20,1
34,Aki Berg,అకీ బెర్గ్,7/28/1977,1996,'95-'96,LA,ఎల్ఎ,606,15,70,85,-11,374,518,0,5,5,0,2,3,0,0:00,0:00,8,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Defence,డిఫెన్స్,190,97,26.9,26.9<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,Turku,తుర్కు,19,1
35,Akim Aliu,అకిమ్ అలియు,4/24/1989,2012,'11-'12,CGY,సిజివై,7,2,1,3,1,26,5,66.7,0,0,0,0,0,0,11:02,7:21,29,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Centre,సెంటర్,190,93,25.8,25.8<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Okene, Nigeria","ఓకేనే, నైజీరియా",23,1
36,Al Conroy,అల్ కాన్రాయ్,1/17/1966,1992,'91-'92,PHI,పిహెచ్ఐ,114,9,14,23,-12,156,89,8,0,1,1,0,1,0,0:00,0:00,NONE,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Centre,సెంటర్,173,77,25.7,25.7<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Calgary, Alberta","కాల్గరీ, అల్బెర్టా",26,1
37,Al Iafrate,అల్ ఐఫ్రేట్,3/21/1966,1985,'84-'85,TOR,టిఓఆర్,799,152,311,463,-59,1301,1714,5.7,46,122,8,9,22,3,0:00,0:00,43,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Defence,డిఫెన్స్,190,109,30.2,30.2<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Dearborn, Michigan","డియర్బోర్న్, మిచిగాన్",19,1
38,Al MacInnis,అల్ మాక్‌ఇన్నిస్,7/11/1963,1982,'81-'82,CGY,సిజివై,1416,340,934,1274,373,1511,5157,0,166,556,10,23,44,6,0:00,0:00,2,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Defence,డిఫెన్స్,185,93,27.2,27.2<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Inverness, Nova Scotia","ఇన్వర్నెస్, నోవా స్కోటియా",19,1
39,Al Montoya,అల్ మోంటోయా,2/13/1985,2009,'08-'09,PHX,పిహెచ్ఎక్స్,169,0,0,0,0,0,0,NONE,0,0,0,0,0,0,51:54:00,NONE,35,4,67,49,0,24,27.35,2.08,4418,4013,0.925,7,Goaltender,గోల్ టెండర్ ,188,92,26,26<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Chicago, Illinois","చికాగో, ఇల్లినాయిస్",24,1
40,Alain Cote,అలైన్ కోట్,4/14/1967,1986,'85-'86,BOS,బిఓఎస్,119,2,18,20,4,124,99,0,0,0,0,0,0,0,0:00,0:00,NONE,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Defence,డిఫెన్స్,183,91,27.2,27.2<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Montmagny, Quebec","మోంట్‌మాగ్నీ, క్యూబెక్",19,1
41,Alain Nasreddine,అలైన్ నస్రెద్దీన్,7/10/1975,1999,'98-'99,CHI,సిహెచ్ఐ,74,1,4,5,9,84,38,0,0,0,0,0,0,0,0:00,0:00,32,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Defence,డిఫెన్స్,185,93,27.2,27.2<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Montreal, Quebec","మాంట్రియల్, క్యూబెక్",24,1
42,Alan Letang,అలాన్ లెటాంగ్,9/4/1975,2000,'99-'00,DAL,డిఎఎల్,14,0,0,0,-8,2,3,0,0,0,0,0,0,0,9:57,0:00,32,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Defence,డిఫెన్స్,185,92,26.9,26.9<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Renfrew, Ontario","రెన్‌ఫ్రూ, అంటారియో",25,1
43,Alan May,అలాన్ మే,1/14/1965,1988,'87-'88,BOS,బిఓఎస్,393,31,45,76,-18,1348,325,0,1,2,0,0,6,0,0:00,0:00,NONE,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Right_wing,రైట్ వింగ్,185,98,28.6,28.6<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Swan Hills, Alberta","స్వాన్ హిల్స్, అల్బెర్టా",23,1
44,Alec Martinez,అలెక్ మార్టినెజ్,7/26/1987,2010,'09-'10,LA,ఎల్ఎ,607,64,142,206,28,191,902,0,16,54,1,2,12,0,15:25,0:00,23,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Defence,డిఫెన్స్,185,95,27.8,27.8<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Rochester Hills, Michigan","రోచెస్టర్ హిల్స్, మిచిగాన్",23,1
45,Alek Stojanov,అలెక్ స్టోజనోవ్,4/25/1973,1995,'94-'95,VAN,విఎఎన్,107,2,5,7,-12,222,32,0,0,0,0,0,0,0,0:00,0:00,19,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Right_wing,రైట్ వింగ్,193,100,26.9,26.9<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Windsor, Ontario","విండ్సర్, అంటారియో",22,1
46,Aleksander Suglobov,అలెగ్జాండర్ సుగ్లోబోవ్,1/15/1982,2004,'03-'04,NJ,ఎన్.జె,18,1,0,1,-9,4,24,0,1,0,0,0,0,0,8:18,0:00,9,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Right_wing,రైట్ వింగ్,183,91,27.2,27.2<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Elektrostal, Russia","ఎలెక్ట్రోస్టల్, రష్యా",22,1
47,Aleksey Morozov,అలెక్సీ మొరోజోవ్,2/16/1977,1998,'97-'98,PIT,పిఐటి,451,84,135,219,-29,98,668,16.3,23,41,1,1,14,2,0:00,0:00,95,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Right_wing,రైట్ వింగ్,185,93,27.2,27.2<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,Moscow,మాస్కో,21,1
48,Ales Hemsky,అలెస్ హెమ్స్కీ,8/13/1983,2003,'02-'03,EDM,ఇడిఎం,845,174,398,572,-53,353,1650,12,43,168,2,1,18,1,12:04,23:44,83,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Right_wing,రైట్ వింగ్,183,83,24.8,24.8<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Pardubice, Czechoslovakia","పార్డుబిస్, చెకోస్లోవేకియా",20,1
49,Ales Kotalik,అలెస్ కోటలిక్,12/23/1978,2002,'01-'02,BUF,బియుఎఫ్,542,136,148,284,-46,348,1373,4.8,46,67,0,0,22,2,12:35,40:54:00,12,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Right_wing,రైట్ వింగ్,185,102,29.8,29.8<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Jindrichuv Hradec, Czechoslovakia","జింద్రిచువ్ హ్రాడెక్, చెకోస్లోవేకియా",24,1
50,Ales Pisa,అలెస్ పిసా,1/2/1977,2002,'01-'02,EDM,ఇడిఎం,53,1,3,4,12,26,40,0,1,0,0,0,0,0,15:02,0:00,18,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Defence,డిఫెన్స్,183,88,26.3,26.3<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,Pardubice,పర్దుబిస్,25,1
51,Alex Auld,అలెక్స్ ఆల్డ్,1/7/1981,2002,'01-'02,VAN,విఎఎన్,237,0,0,0,0,0,0,NONE,0,0,0,0,0,0,59:55:00,NONE,35,1,91,88,2,30,31.77,2,6293,5687,0.909,6,Goaltender,గోల్ టెండర్ ,193,98,26.3,26.3<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Thunder Bay, Ontario","థండర్ బే, అంటారియో",21,1
